Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_780.jpg;-2.970114;1;0;3.994607;106.6385;95.05257;0.9526571;39.50948;359.6706
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_846.jpg;0;1;0;4.031777;106.8916;95.26115;1.234934;39.29889;359.8957
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_912.jpg;0;1;0;4.069126;107.0842;95.41847;1.442596;39.24559;0.0005630821
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_979.jpg;0;1;0;4.116786;107.2775;95.57427;1.502111;39.18897;-0.003293977
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_046.jpg;0;1;0;4.16291;107.5363;95.78317;1.437937;39.16755;-0.001177885
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_114.jpg;0;1;0;4.199693;107.7327;95.94164;1.409114;39.14154;-0.001165166
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_179.jpg;0;1;0;4.248207;107.9312;96.10165;1.40066;39.11332;-0.001181763
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_246.jpg;0;1;0;4.284471;108.1988;96.31731;1.415617;39.07509;-0.001239417
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_313.jpg;0;1;0;4.320645;108.4018;96.48071;1.442335;39.04619;-0.001270444
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_380.jpg;0;1;0;4.368752;108.6067;96.64548;1.478887;39.01684;-0.001318346
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_445.jpg;-2.989688;1;0;4.40494;108.8829;96.86564;1.486022;38.75175;3.501649E-05
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_512.jpg;-5.989402;1;0;4.441979;109.0938;97.03004;1.484129;38.19853;0.0007659318
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_579.jpg;-8.983089;1;0;4.487992;109.3081;97.19279;1.465346;37.28699;0.001166103
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_648.jpg;-11.98727;1;0;4.521644;109.6011;97.40356;1.388496;35.4325;359.9045
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_714.jpg;-8.989295;1;0;4.552605;109.825;97.55691;1.235971;33.88729;359.7959
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_780.jpg;-6.001936;1;0;4.602377;110.0528;97.70692;1.042857;32.59957;359.6521
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_846.jpg;-3.002897;1;0;4.637755;110.362;97.90342;0.7574887;31.4725;359.4403
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_913.jpg;0;1;0;4.673349;110.5975;98.04993;0.5460796;31.0815;359.305
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_37_978.jpg;0;1;0;4.719864;110.8361;98.19658;0.368346;30.95494;359.1919
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_046.jpg;0;1;0;4.753665;111.1587;98.39314;0.2009254;30.92595;359.0876
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_112.jpg;0;1;0;4.787393;111.4039;98.54179;0.1347757;30.93375;359.0479
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_179.jpg;0;1;0;4.832169;111.6518;98.6917;0.1182541;30.94511;359.0426
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_245.jpg;0;1;0;4.865113;111.986;98.89368;0.1653909;30.96452;359.0876
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_312.jpg;0;1;0;4.89898;112.2395;99.0467;0.2507537;30.97777;359.1513
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_378.jpg;0;1;0;4.943291;112.4952;99.20107;0.3727831;30.99267;359.2368
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_445.jpg;0;1;0;4.976464;112.8394;99.40903;0.5751573;31.02011;359.3849
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_513.jpg;0;1;0;5.009742;113.0995;99.56625;0.7622576;31.03922;359.5077
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_579.jpg;0;1;0;5.008319;113.3599;99.72388;0.9669616;31.05831;359.6453
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_645.jpg;0;1;0;5.022924;113.7067;99.93419;1.237078;31.12925;359.8419
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_714.jpg;0;1;0;5.015244;113.9669;100.0925;1.448894;31.16452;359.9937
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_778.jpg;0;1;0;5.027819;114.2273;100.248;1.588867;31.12718;-0.003876075
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_845.jpg;0;1;0;4.998631;114.5667;100.4508;1.315965;31.06945;-0.0007052962
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_912.jpg;0;1;0;4.987936;114.8223;100.6032;1.168774;31.03898;-0.001074858
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_38_978.jpg;0;1;0;5.010272;115.0792;100.7564;1.065529;31.00562;-0.0009670125
